policy_id,customer_id,policy_type,vehicle_type,coverage_level,annual_premium
A0286,286,Auto,Truck,Standard,1322.97
A0587,587,Auto,SUV,Full Coverage,1605.23
A0014,14,Auto,SUV,Full Coverage,1516.15
A0753,753,Auto,Sedan,Full Coverage,2295.08
A0193,193,Auto,Sedan,Standard,934.21
A0586,586,Auto,SUV,Full Coverage,1178.94
A0295,295,Auto,Truck,Standard,924.87
A0543,543,Auto,Coupe,Liability Only,581.9
A0125,125,Auto,Minivan,Full Coverage,1246.29
A0365,365,Auto,Truck,Standard,893.08
A0200,200,Auto,Sedan,Liability Only,612.34
A0644,644,Auto,SUV,Standard,927.62
A0222,222,Auto,Minivan,Standard,821.63
A0794,794,Auto,Sedan,Standard,979.65
A0609,609,Auto,Sedan,Liability Only,737.52
A0670,670,Auto,Sedan,Standard,833.93
A0072,72,Auto,Sedan,Standard,773.06
A0256,256,Auto,Sedan,Standard,975.07
A0698,698,Auto,Sedan,Liability Only,816.87
A0268,268,Auto,SUV,Liability Only,647.67
A0402,402,Auto,Minivan,Full Coverage,1552.7
A0605,605,Auto,Sedan,Standard,756.78
A0060,60,Auto,Coupe,Liability Only,449.23
A0376,376,Auto,Coupe,Full Coverage,2708.17
A0408,408,Auto,SUV,Liability Only,578.43
A0539,539,Auto,Minivan,Standard,1031.43
A0075,75,Auto,SUV,Standard,1059.78
A0213,213,Auto,Sedan,Full Coverage,1528.51
A0219,219,Auto,Sedan,Standard,690.74
A0227,227,Auto,Sedan,Standard,1226.18
A0648,648,Auto,Sedan,Liability Only,476.45
A0084,84,Auto,Coupe,Full Coverage,1874.56
A0760,760,Auto,Truck,Full Coverage,1676.29
A0102,102,Auto,SUV,Full Coverage,1458.79
A0179,179,Auto,SUV,Liability Only,621.0
A0485,485,Auto,Coupe,Standard,1469.4
A0098,98,Auto,SUV,Standard,621.16
A0146,146,Auto,Coupe,Full Coverage,1294.82
A0080,80,Auto,Sedan,Standard,837.99
A0143,143,Auto,Sedan,Liability Only,380.44
A0720,720,Auto,Sedan,Standard,703.26
A0103,103,Auto,Sedan,Standard,763.56
A0316,316,Auto,SUV,Liability Only,539.78
A0182,182,Auto,SUV,Standard,980.73
A0615,615,Auto,SUV,Standard,847.4
