customer_id,age,state,credit_tier,years_with_company,prior_claims_5yr,bundled_discount
1,23,CT,Fair,18,1,1
2,65,MA,Good,18,1,0
3,58,NJ,Poor,15,0,1
4,45,PA,Good,2,1,0
5,44,RI,Excellent,5,0,1
6,71,RI,Excellent,13,0,0
7,23,NJ,Fair,19,1,0
8,61,CT,Excellent,16,0,1
9,30,NY,Good,8,0,1
10,23,PA,Poor,4,0,0
11,50,CT,Excellent,19,0,1
12,78,PA,Excellent,5,0,0
13,63,RI,Poor,6,0,1
14,65,MA,Good,19,0,0
15,62,RI,Excellent,11,0,0
16,66,PA,Poor,5,0,0
17,49,CT,Poor,0,0,0
18,25,CT,Good,8,0,0
19,70,NJ,Fair,19,0,0
20,45,PA,Good,8,0,0
21,49,CT,Excellent,13,0,0
22,40,NJ,Good,5,0,0
23,29,CT,Good,15,1,0
24,75,NJ,Fair,15,0,1
25,66,NJ,Fair,12,0,1
26,57,CT,Excellent,15,0,0
27,42,RI,Good,11,0,1
28,69,PA,Excellent,7,0,0
29,51,PA,Poor,14,0,0
30,45,CT,Good,16,0,1
31,45,MA,Fair,16,2,1
32,32,MA,Good,4,0,1
33,23,NY,Good,13,1,0
34,52,CT,Fair,0,1,1
35,73,PA,Fair,11,2,0
36,21,RI,Good,11,0,0
37,71,RI,Fair,7,0,0
38,69,MA,Poor,19,0,1
39,35,CT,Good,17,0,0
40,57,PA,Good,0,1,1
41,28,MA,Excellent,4,0,1
42,65,NJ,Fair,4,1,1
43,61,PA,Good,17,0,1
44,39,CT,Good,10,1,1
45,22,CT,Excellent,14,0,0
46,78,CT,Poor,16,0,0
47,45,CT,Good,15,1,1
48,73,CT,Fair,1,0,0
49,60,RI,Excellent,2,0,0
50,66,NJ,Poor,7,0,0
51,65,PA,Excellent,6,1,0
52,30,RI,Excellent,14,1,0
53,40,PA,Poor,3,0,0
54,46,MA,Poor,7,1,1
55,48,MA,Excellent,4,0,0
56,20,PA,Good,3,1,1
57,51,MA,Fair,3,0,1
58,27,CT,Poor,3,1,0
59,64,RI,Good,11,0,1
60,60,RI,Good,8,0,1
61,75,PA,Fair,8,0,1
62,64,PA,Fair,9,0,0
63,40,CT,Fair,14,1,0
64,77,RI,Good,17,1,0
65,43,PA,Excellent,10,0,1
66,38,RI,Poor,12,0,1
67,74,RI,Poor,14,1,1
68,40,PA,Fair,13,0,1
