policy_id,customer_id,policy_type,home_type,coverage_level,annual_premium
H0341,341,Home,Single Family,Standard,1170.9
H0269,269,Home,Single Family,Full Coverage,1299.35
H0465,465,Home,Single Family,Standard,1128.18
H0171,171,Home,Condo,Standard,635.43
H0717,717,Home,Multi-Family,Full Coverage,1571.93
H0667,667,Home,Single Family,Full Coverage,1367.62
H0701,701,Home,Single Family,Standard,1083.88
H0339,339,Home,Condo,Standard,541.5
H0426,426,Home,Single Family,Full Coverage,2447.46
H0280,280,Home,Townhouse,Full Coverage,1468.11
H0122,122,Home,Single Family,Full Coverage,2349.55
H0344,344,Home,Condo,Liability Only,347.34
H0675,675,Home,Condo,Full Coverage,1102.27
H0682,682,Home,Townhouse,Liability Only,386.52
H0635,635,Home,Single Family,Standard,859.66
H0678,678,Home,Condo,Liability Only,683.43
H0286,286,Home,Single Family,Standard,1091.64
H0462,462,Home,Single Family,Standard,618.29
H0770,770,Home,Condo,Full Coverage,982.13
H0581,581,Home,Single Family,Full Coverage,1621.63
H0015,15,Home,Townhouse,Full Coverage,1023.75
H0535,535,Home,Townhouse,Standard,1695.31
H0196,196,Home,Condo,Standard,919.47
H0495,495,Home,Condo,Liability Only,367.78
H0584,584,Home,Townhouse,Liability Only,623.1
H0442,442,Home,Condo,Liability Only,368.44
H0450,450,Home,Single Family,Full Coverage,2621.7
H0524,524,Home,Townhouse,Full Coverage,1104.79
H0674,674,Home,Townhouse,Full Coverage,1487.65
H0422,422,Home,Condo,Full Coverage,1679.92
H0220,220,Home,Single Family,Liability Only,613.87
H0783,783,Home,Townhouse,Liability Only,484.19
H0633,633,Home,Single Family,Standard,930.42
H0591,591,Home,Condo,Full Coverage,2049.15
H0287,287,Home,Multi-Family,Full Coverage,1906.22
H0213,213,Home,Townhouse,Standard,969.85
H0271,271,Home,Single Family,Full Coverage,1697.8
H0590,590,Home,Single Family,Standard,770.11
H0728,728,Home,Single Family,Standard,1320.21
H0740,740,Home,Single Family,Standard,757.01
H0479,479,Home,Single Family,Full Coverage,2354.38
H0427,427,Home,Multi-Family,Standard,1063.49
H0372,372,Home,Single Family,Full Coverage,1707.83
H0243,243,Home,Single Family,Full Coverage,2007.82
H0167,167,Home,Single Family,Full Coverage,2258.4
H0492,492,Home,Townhouse,Liability Only,377.95
H0047,47,Home,Single Family,Standard,820.03
H0088,88,Home,Single Family,Standard,1170.28
H0157,157,Home,Single Family,Standard,1613.4
H0519,519,Home,Single Family,Full Coverage,2091.59
H0527,527,Home,Townhouse,Full Coverage,1258.41
H0055,55,Home,Single Family,Full Coverage,1795.18
H0487,487,Home,Single Family,Full Coverage,1698.07
H0082,82,Home,Condo,Liability Only,284.87
H0546,546,Home,Single Family,Standard,905.57
H0359,359,Home,Multi-Family,Liability Only,548.24
H0489,489,Home,Condo,Liability Only,259.63
H0760,760,Home,Single Family,Liability Only,449.58
H0367,367,Home,Townhouse,Full Coverage,1524.85
H0131,131,Home,Multi-Family,Full Coverage,2025.45
H0272,272,Home,Single Family,Standard,1192.44
H0610,610,Home,Multi-Family,Standard,1364.68
H0010,10,Home,Townhouse,Full Coverage,1364.77
H0199,199,Home,Condo,Full Coverage,1312.45
H0625,625,Home,Single Family,Liability Only,343.23
H0456,456,Home,Single Family,Standard,1615.28
H0361,361,Home,Multi-Family,Standard,1193.56
H0538,538,Home,Townhouse,Full Coverage,1744.95
H0056,56,Home,Single Family,Standard,696.88
H0786,786,Home,Single Family,Full Coverage,3086.35
H0603,603,Home,Townhouse,Standard,909.54
H0096,96,Home,Condo,Standard,1061.2
